# Fazioù Common voice

ne reomp nemer sentiñ	ne reomp nemet sentiñ
er borioù pell	er broioù pell
aozadennn	aozadenn
emcihañs	emichañs
vrummenn	vrumenn
skinwell	skinwel
migon	mignon
migoned	mignoned
taski	taksi
ecowatt	eko watt
c'houlzma	c'houlz ma
eo be tlakaet	eo bet lakaet
ao	aotrou
dim	dimezell
aeoc'h	aesoc'h
triugentved	triugentvet
maoc'h	emaoc'h
maomp	emaomp
penaoz	penaos
dilec'hiadennoù	dilerc'hiadennoù
ac'hanoch	ac'hanoc'h
c'whi	c'hwi
mille 	mil 
chwi	c'hwi
ar smic	ar SMIC
eit	evit
evt	evit
vbeethoven	Beethoven
skriviñ	skrivañ
warchoazh	warc'hoazh
llaer	laer
achu	echu
skzuizh	skuizh
bernn	benn
sonedagoù	sonadegoù
genoc'h	ganeoc'h
emezoc ’ h	emezoc'h
lenann	lenan
oar ke lenn	oar ket lenn
choant	c'hoant
R B I	RBI
gulennet	goulennet
klanv	klañv
enañ	ennañ
garom	garomp
neus	n'eus
meus	m'eus
M eus	m'eus
a rpaourkaezh	ar paourkaezh
½	hanter
Petr a	petra
I.V. 	itron Varia 
dwb	diwar benn
s.o. 	sellet ouzh 
Dime Square	*Dime *Square
Microsoft Corporation	Microsoft *Corporation
ar Mille-Clubs	ar *Mille *Clubs
Local Hero	*Local *Hero
enoet	enoeet
Alliance Française	*Alliance *Française
eizvedenn	eizhvedenn
aluletez	alumetez
dishoñjal	disoñjal
tonnenn	tonenn
kaondaonet	kondaonet
unnan	unan
c'houzhout	c'houzout
Outlook dija	*Outlook dija
a-bernn	a-benn
dd'ar	d'ar
e plis ar	e plij ar
diw wech	div wech
gwaneoc'h	ganeoc'h
dilhad sa sec'hañ	dilhad da sec'hañ
kentañ 'r bloaz	kentañ ar bloaz
hegaziñ	hegasiñ
hardiz	hardizh
No vo ket	ne vo ket
db.	diwar benn
gt Pzd	gant prezidant
dilamour	dilabour
brasenn	blasenn




 d' ar 	 d'ar 
 d' an 	 d'an 
 d' al 	 d'al 
 d' ur 	 d'ur 
 d' un 	 d'un 
 d' he 	 d'he 
 d' en 	 d'en 
 pa z 	 pa'z 
be'h	bec'h
#me 'm eus	me'm eus
 'm eus	 m'eus
 'm oa	 m'oa
'moa 	m'oa 
 'noa 	 n'oa 

bzh	BZH
www	WWW
fm	FM
kant g 	kant gramm 
c'hant g 	c'hant gramm 

II	daou
III	tri
IV	pevar
VI	c'hwec'h
VII	seizh
VIII	eizh
IX	nav
XVII	seizh
XIII	trizek

1añ	kentañ
IVe	pevare
Vvet	pempvet
VIvet	c'hwec'hvet
VIIvet	seizhvet
VIIIvet	eizhvet
IXvet	navet
Xvet	dekvet
XIIvet	daouzekvet
XVIIvet	seitekvet
XVIIIvet	triwec'hvet
XXvet	ugentvet

