3D	T R I D E
3M	T R I EH M
5G	P EH M P J E
A2	A D A OU
A3	A T R I
A4	A P E V A R
AAA	A A A
AAA	T R I A
ABC	A B E S E
ABK	A B E K A
ABP	A B E P E
ABU	A B E U
ADEME	A D EH M
ADN	A D E EH N
AFPA	A F P A
AFP	A EH F P E
AFPS	A EH F P E EH S
AGP	A J E P E
AK	A K A
ALBB	A EH L B E B E
ANC	A EH N S E
ANPE	A EH N P E EU
ANSI	A N S I
AOC	A O S E
AOK	A O K A
API	A P E I
ARB	A EH R B E
ARN	A EH R EH N
ASCII	A S K I
AUV	A U V E
B2	B E D A OU
B3	B E T R I
B5	B E P EH M P
BAFA	B A F A
BBC	B I B I S I
BCD	B E S E D E
BDG	B E D E J E
BE	B E EU
BEC	B E EU S E
BEP	B E EU P E
BEPC	B E EU P E S E
BIOS	B I O S
BMX	B E EH M I K S
BR	B E EH R
BRGM	B E EH R G E EH M
BS	B E EH S
BT	B E T E
BTS	B E T E EH S
BZH	B E Z E D A CH
C2	S E D A OU
C3	S E T R I
C4	S E P E V A R
CAF	K A F
CAF	X A F
CAPES	K A P EH S
CAPES	X A P EH S
CAP	S E A P E
CDD	S E D E DE
CDI	S E D E I
CD-ROM	S E D E R OH M
CD	S E D E
CE1 S E EU U N AN N
CE2	S E EU D A OU
CESU	S E Z U
CFDT	S E EH F D E T E
CGE	S E J E EU
CGT	S E G E T E
CIA	S E I A
CM1	S E EH M U N AN N
CM2	S E EH M D A OU
CMACGM	S E EH M A S E J E EH M
CMB	S E EH M B E
CMPP	S E EH M P E P E
CNC	S E EH N S E
CNRS	S E EH N EH R EH S
CNT	S E EH N T E
CO2 S E O D A OU
COB K OH B
COM K OH M
COP	K O P
CP	S E P E
CRBC	S E EH R B E S E
CRS	S E EH R EH S
CSA	S E EH S A
CV	S E V E
D2	D E D A OU
DAO	D E A O
DE	D E E
DEUG	D OE G
DIY	D I A I W A I
DJ	D I D J EY
DRH	D E EH R A CH
DVD	D E V E D E
E4  E P E V A R
EDF	EU D E EH F
EHZ	E A CH Z EH D
ENS	EU EH N EH S
ENSTA	EU EH N EH S T E A
EPHAD	E P A D
EPV EU P E V E
EV	EU V E
EVP	EU V E P E
F3  EH F T R I
F7  EH F S EH I Z
FAO	EH F A O
FBI	EH F B I A I
FCIS EH F S E I EH S
FDSEA	EH F D E EH S EU A
FFBA EH F EH F B E A
FIFA	F I F A
FLB	EH F EH L B E
FLN	EH F EH L EH N
FM	EH F EH M
FNSEA	EH F EH N EH S EU A
FPS	EH F P E EH S
FR3	EH F EH R T R I
FR	EH F EH R
FTP	EH F T E P E
G4	J E P E V A R
GBB	G E B E B E
GBB	J E B E B E
GIEC	J I EH K
GPL	J E P E EH L
GPS G E P E EH S
GPS	J E P E EH S
H2	A CH D A OU
HTML A CH T E EH M EH L
HTTP	A CH T E T E P E
IA	I A
IFREMER	I F R E M EH R
IFREMER	I F R EU M EH R
IKEA	I K E A
INRAP	I N R A P
