àlkent	?
arall	all
àrnezhe	warnezhe
àrni	warni
arru	erru
arruhe	errufe
àr	war
ataw	atav
aveid	evit
bamdé	bemdez
berpet	bepred
betak	betek
beteg	betek
beviñ	bevañ
blez	bloaz
bout	bezañ
bremen	bremañ
c'hellahe	c'hellfe
chetu	setu
daet	deuet
dé	deiz
déh	dec'h
dehe	defe
dein	din
deoh	deoc'h
dianav	dianv
diàr	diwar
diskoueziñ	diskouez
doh	deoc'h
doh	diouzh
e	a
éc'h	oc'h
eged	eget
eh ahe	ez afe
ehamp	emaomp
eh eus	ez eus
eit	evit
èl	evel
enne	enno
é	o
erbet	ebet
eus pe	eus peseurt
evid	evit
fonnabl	fonnus
genein	ganin
genin	ganin
genoc'h	ganeoc'h
genoh	ganeoc'h
getañ	gantañ
gete	ganto
get	gant
getoñ	ganin
gober	ober
gouian	goañv
gouiañv	goañv
gouiet	gouzout
Gouil-Mikél	Here
gouvezet	gouezet
guéh	gwech
guelet	gwelet
Guéned	Gwened
hañval	heñvel
hebkén	hepken
hiaul	heol
hiziw	hiziv
hui	c'hwi
hwi	c'hwi
ia	ya
ihuél	uhel
Imbrill	Ebrel
iouank	yaouank
istoer	istor
kani	an hini
kanniget	kinniget
kelennerion	kelennerien
kentoh	kentoc'h
kleùet	klevet
koh	kozh
lakaad	lakaat
mam	ma
marsen	marteze
memez	memes
men	ma
menn	pelec'h
moaiand	moien
moaian	moien
moned	mont
monet	mont
nameit	nemet
nend	n'ez
neoazh	koulskoude
neuzen	neuze
newazh  koulskoude
oc'hpenn	ouzhpenn
oe	oa
oll	holl
ouia    oar
pèh	pezh
predegennoù	prezegennoù
*-se	*-sen
seùel	sevel
skiantourion	skiantourien
skriviñ	skrivañ
vehent	vefent
vehe    vefe
veviñ	vevañ
vlez	vloaz
vonet   vont
vout	vezañ
vout    vezañ
zou zo
