aliez	alies
amser	amzer
ann	an
araog	a-raok
atao	atav
avoualc'h	a-walc'h
bardoun	bardon
beo	bev
beteg	betek
beva	bevañ
beza	bezañ
brao	brav
braoentez	braventez
brema	bremañ
brezonek	brezhoneg
brezounek	brezhoneg
c'haloun	c'halon
c'hoaz	c'hoazh
c'houi	c'hwi
deuz	deus
d'ezhan	dezhañ
d'ezho	dezho
d'heoc'h	deoc'h
d'heomp	deomp
digaloun	digalon
diou	div
diskuez	diskouez
diskuezet	diskouezet
divar	diwar
dourn	dorn
eat	aet
ell	c'hell
enn	en
ennhan	ennañ
ennho	enno
epad	e-pad
eul	ul
eunn	un
eun	un
eur	ur
euz	eus
evitho	evito
fardoun	fardon
galoun	galon
ganthan	gantañ
ganthi	ganti
ganto	gantho
gear	gêr
great	graet
gueach	gwech
guelet   gwelet
guel	gwel
guelit	gwelit
guella	gwellañ
guell	gwell
guelloc'h	gwelloc'h
guiniz	gwinizh
guir	gwir
guirion	gwirion
hebet	ebet
heur	eur
hirio	hiziv
Iann	Yann
iaouank	yaouank
ia	ya
ia	ya
iec'hed	yec'hed
ioa	oa
ive	ivez
jomm	chom
kaloun	kalon
kals	kalz
kear	kaer
kenta	kentañ
koumpren	kompren
koz	kozh
lakeat	lakaet
leac'h	lec'h
leoriou	levrioù
leor	levr
liou	liv
mad	mat
maro	marv
mignoun	mignon
nemethan	nemetañ
n'euz	n'eus
oun	on
ouspenn	ouzhpenn
ouspen	ouzhpenn
ouz	ouzh
pardoun	pardon
peger	pegen
peleac'h	pelec'h
penaoz	penaos
persoun	person
piou	piv
poania	poaniañ
red	ret
sarmoun	sarmon
siouaz	siwazh
skuer	skouer
sounjal	soñjal
sounj	soñj
triouec'h	triwec'h
vad	vat
var	war
veach	wech
veza	vezañ
vignoun	vignon
zounj	zoñj
zourn	zorn
